Robot,LLM,Pose,GT_count,Pred_count
nao,chat,T_pose,2,2
nao,claude,T_pose,2,4
nao,gemini,T_pose,2,2
nao,deepseek,T_pose,2,6
nao,chat,salute,4,8
nao,claude,salute,4,6
nao,gemini,salute,4,3
nao,deepseek,salute,4,4
nao,chat,superhero,8,9
nao,claude,superhero,8,5
nao,gemini,superhero,8,4
nao,deepseek,superhero,8,6
nao,chat,sit,14,17
nao,claude,sit,14,13
nao,gemini,sit,14,11
nao,deepseek,sit,14,14
atlas,chat,T_pose,0,0
atlas,claude,T_pose,0,0
atlas,gemini,T_pose,0,0
atlas,deepseek,T_pose,0,0
atlas,chat,salute,5,4
atlas,claude,salute,5,11
atlas,gemini,salute,5,2
atlas,deepseek,salute,5,6
atlas,chat,superhero,6,6
atlas,claude,superhero,6,8
atlas,gemini,superhero,6,6
atlas,deepseek,superhero,6,6
atlas,chat,sit,6,7
atlas,claude,sit,6,17
atlas,gemini,sit,6,4
atlas,deepseek,sit,6,9
h12,chat,T_pose,5,2
h12,claude,T_pose,5,2
h12,gemini,T_pose,5,2
h12,deepseek,T_pose,5,4
h12,chat,salute,4,5
h12,claude,salute,4,3
h12,gemini,salute,4,6
h12,deepseek,salute,4,4
h12,chat,superhero,4,6
h12,claude,superhero,4,6
h12,gemini,superhero,4,10
h12,deepseek,superhero,4,4
h12,chat,sit,6,7
h12,claude,sit,6,11
h12,gemini,sit,6,6
h12,deepseek,sit,6,7
khr3hv,chat,T_pose,2,2
khr3hv,claude,T_pose,2,2
khr3hv,gemini,T_pose,2,2
khr3hv,deepseek,T_pose,2,6
khr3hv,chat,salute,4,5
khr3hv,claude,salute,4,8
khr3hv,gemini,salute,4,2
khr3hv,deepseek,salute,4,3
khr3hv,chat,superhero,6,8
khr3hv,claude,superhero,6,8
khr3hv,gemini,superhero,6,4
khr3hv,deepseek,superhero,6,4
khr3hv,chat,sit,4,6
khr3hv,claude,sit,4,8
khr3hv,gemini,sit,4,6
khr3hv,deepseek,sit,4,21
