,interaction,robot,scenes
0,G024T000A000R001,nao,borgo.glb
1,G024T000A000R001,pepper,corridoio_estense.glb
2,G024T000A000R001,g1,borgo.glb
3,G024T000A000R001,atlas,city.glb
4,G024T000A000R001,icub,corridoio_estense.glb
5,G003T000A000R001,nao,estensi_room.glb
6,G003T000A000R001,pepper,corridoio_estense.glb
7,G003T000A000R001,g1,hospital.glb
8,G003T000A000R001,atlas,office.glb
9,G003T000A000R001,icub,baroque_room.glb
10,G044T000A000R006,nao,office.glb
11,G044T000A000R006,pepper,hospital.glb
12,G044T000A000R006,g1,borgo.glb
13,G044T000A000R006,atlas,corridoio_estense.glb
14,G044T000A000R006,icub,borgo.glb
15,G001T000A000R000,nao,baroque_room.glb
16,G001T000A000R000,pepper,office.glb
17,G001T000A000R000,g1,hospital.glb
18,G001T000A000R000,atlas,hospital.glb
19,G001T000A000R000,icub,city.glb
20,G030T000A000R002,nao,hospital.glb
21,G030T000A000R002,pepper,estensi_room.glb
22,G030T000A000R002,g1,borgo.glb
23,G030T000A000R002,atlas,office.glb
24,G030T000A000R002,icub,office.glb
25,G047T000A000R003,nao,city.glb
26,G047T000A000R003,pepper,baroque_room.glb
27,G047T000A000R003,g1,office.glb
28,G047T000A000R003,atlas,estensi_room.glb
29,G047T000A000R003,icub,borgo.glb
30,G022T000A000R002,nao,baroque_room.glb
31,G022T000A000R002,pepper,hospital.glb
32,G022T000A000R002,g1,hospital.glb
33,G022T000A000R002,atlas,hospital.glb
34,G022T000A000R002,icub,city.glb
35,G040T000A000R002,nao,borgo.glb
36,G040T000A000R002,pepper,hospital.glb
37,G040T000A000R002,g1,corridoio_estense.glb
38,G040T000A000R002,atlas,borgo.glb
39,G040T000A000R002,icub,city.glb
40,G030T000A000R004,nao,corridoio_estense.glb
41,G030T000A000R004,pepper,baroque_room.glb
42,G030T000A000R004,g1,estensi_room.glb
43,G030T000A000R004,atlas,office.glb
44,G030T000A000R004,icub,corridoio_estense.glb
45,G041T000A000R002,nao,estensi_room.glb
46,G041T000A000R002,pepper,estensi_room.glb
47,G041T000A000R002,g1,estensi_room.glb
48,G041T000A000R002,atlas,estensi_room.glb
49,G041T000A000R002,icub,hospital.glb
50,G039T001A004R019,nao,office.glb
51,G039T001A004R019,pepper,borgo.glb
52,G039T001A004R019,g1,borgo.glb
53,G039T001A004R019,atlas,corridoio_estense.glb
54,G039T001A004R019,icub,corridoio_estense.glb
55,G024T000A004R024,nao,borgo.glb
56,G024T000A004R024,pepper,hospital.glb
57,G024T000A004R024,g1,hospital.glb
58,G024T000A004R024,atlas,office.glb
59,G024T000A004R024,icub,borgo.glb
60,G046T000A004R024,nao,corridoio_estense.glb
61,G046T000A004R024,pepper,borgo.glb
62,G046T000A004R024,g1,hospital.glb
63,G046T000A004R024,atlas,borgo.glb
64,G046T000A004R024,icub,baroque_room.glb
65,G056T000A004R023,nao,city.glb
66,G056T000A004R023,pepper,estensi_room.glb
67,G056T000A004R023,g1,borgo.glb
68,G056T000A004R023,atlas,corridoio_estense.glb
69,G056T000A004R023,icub,corridoio_estense.glb
70,G043T000A004R035,nao,corridoio_estense.glb
71,G043T000A004R035,pepper,borgo.glb
72,G043T000A004R035,g1,city.glb
73,G043T000A004R035,atlas,city.glb
74,G043T000A004R035,icub,corridoio_estense.glb
75,G031T000A004R022,nao,baroque_room.glb
76,G031T000A004R022,pepper,hospital.glb
77,G031T000A004R022,g1,borgo.glb
78,G031T000A004R022,atlas,baroque_room.glb
79,G031T000A004R022,icub,city.glb
80,G037T000A004R022,nao,estensi_room.glb
81,G037T000A004R022,pepper,office.glb
82,G037T000A004R022,g1,city.glb
83,G037T000A004R022,atlas,estensi_room.glb
84,G037T000A004R022,icub,corridoio_estense.glb
85,G020T000A004R025,nao,baroque_room.glb
86,G020T000A004R025,pepper,office.glb
87,G020T000A004R025,g1,city.glb
88,G020T000A004R025,atlas,estensi_room.glb
89,G020T000A004R025,icub,borgo.glb
90,G040T000A004R023,nao,hospital.glb
91,G040T000A004R023,pepper,corridoio_estense.glb
92,G040T000A004R023,g1,baroque_room.glb
93,G040T000A004R023,atlas,office.glb
94,G040T000A004R023,icub,city.glb
95,G052T000A004R025,nao,city.glb
96,G052T000A004R025,pepper,hospital.glb
97,G052T000A004R025,g1,office.glb
98,G052T000A004R025,atlas,estensi_room.glb
99,G052T000A004R025,icub,office.glb
100,G008T001A005R000,nao,office.glb
101,G008T001A005R000,pepper,borgo.glb
102,G008T001A005R000,g1,hospital.glb
103,G008T001A005R000,atlas,office.glb
104,G008T001A005R000,icub,estensi_room.glb
105,G043T001A005R000,nao,hospital.glb
106,G043T001A005R000,pepper,borgo.glb
107,G043T001A005R000,g1,hospital.glb
108,G043T001A005R000,atlas,city.glb
109,G043T001A005R000,icub,office.glb
110,G019T001A005R003,nao,borgo.glb
111,G019T001A005R003,pepper,city.glb
112,G019T001A005R003,g1,office.glb
113,G019T001A005R003,atlas,city.glb
114,G019T001A005R003,icub,city.glb
115,G028T001A005R001,nao,city.glb
116,G028T001A005R001,pepper,corridoio_estense.glb
117,G028T001A005R001,g1,baroque_room.glb
118,G028T001A005R001,atlas,office.glb
119,G028T001A005R001,icub,office.glb
120,G052T001A005R005,nao,borgo.glb
121,G052T001A005R005,pepper,city.glb
122,G052T001A005R005,g1,baroque_room.glb
123,G052T001A005R005,atlas,corridoio_estense.glb
124,G052T001A005R005,icub,baroque_room.glb
125,G031T001A005R004,nao,hospital.glb
126,G031T001A005R004,pepper,estensi_room.glb
127,G031T001A005R004,g1,city.glb
128,G031T001A005R004,atlas,corridoio_estense.glb
129,G031T001A005R004,icub,estensi_room.glb
130,G057T001A005R005,nao,estensi_room.glb
131,G057T001A005R005,pepper,office.glb
132,G057T001A005R005,g1,hospital.glb
133,G057T001A005R005,atlas,borgo.glb
134,G057T001A005R005,icub,city.glb
135,G009T001A005R001,nao,hospital.glb
136,G009T001A005R001,pepper,estensi_room.glb
137,G009T001A005R001,g1,corridoio_estense.glb
138,G009T001A005R001,atlas,baroque_room.glb
139,G009T001A005R001,icub,borgo.glb
140,G057T001A005R001,nao,baroque_room.glb
141,G057T001A005R001,pepper,baroque_room.glb
142,G057T001A005R001,g1,office.glb
143,G057T001A005R001,atlas,corridoio_estense.glb
144,G057T001A005R001,icub,baroque_room.glb
145,G059T000A005R019,nao,city.glb
146,G059T000A005R019,pepper,borgo.glb
147,G059T000A005R019,g1,borgo.glb
148,G059T000A005R019,atlas,corridoio_estense.glb
149,G059T000A005R019,icub,borgo.glb
150,G056T001A007R010,nao,estensi_room.glb
151,G056T001A007R010,pepper,office.glb
152,G056T001A007R010,g1,estensi_room.glb
153,G056T001A007R010,atlas,corridoio_estense.glb
154,G056T001A007R010,icub,office.glb
155,G057T001A007R015,nao,city.glb
156,G057T001A007R015,pepper,corridoio_estense.glb
157,G057T001A007R015,g1,borgo.glb
158,G057T001A007R015,atlas,hospital.glb
159,G057T001A007R015,icub,baroque_room.glb
160,G049T002A007R003,nao,city.glb
161,G049T002A007R003,pepper,baroque_room.glb
162,G049T002A007R003,g1,baroque_room.glb
163,G049T002A007R003,atlas,city.glb
164,G049T002A007R003,icub,estensi_room.glb
165,G025T001A007R010,nao,estensi_room.glb
166,G025T001A007R010,pepper,corridoio_estense.glb
