,interaction,robot,scenes
0,G002T005A029R025,g1,hospital.glb
1,G011T006A031R004,atlas,borgo.glb
2,G015T001A007R014,pepper,borgo.glb
3,G034T003A010R001,g1,office.glb
4,G033T003A017R016,nao,baroque_room.glb
5,G033T003A017R016,pepper,city.glb
6,G021T001A007R011,atlas,baroque_room.glb
7,G024T000A002R011,atlas,office.glb
8,G054T007A033R020,g1,borgo.glb
9,G017T003A015R002,g1,borgo.glb
10,G003T000A000R001,atlas,office.glb
11,G033T006A033R018,atlas,baroque_room.glb
12,G046T006A031R009,atlas,borgo.glb
13,G020T003A017R016,nao,corridoio_estense.glb
14,G026T004A022R010,atlas,baroque_room.glb
15,G026T004A022R010,pepper,estensi_room.glb
16,G018T005A022R007,pepper,city.glb
17,G018T005A022R007,icub,borgo.glb
18,G036T004A024R022,atlas,office.glb
19,G026T001A008R017,pepper,corridoio_estense.glb
20,G048T001A008R020,pepper,baroque_room.glb
21,G028T008A037R013,icub,hospital.glb
22,G053T007A033R019,atlas,baroque_room.glb
23,G032T001A008R015,nao,corridoio_estense.glb
24,G006T007A030R001,atlas,borgo.glb
25,G037T004A020R002,atlas,office.glb
